V1,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
,4.0,3.0,1.0,23.0,1694060366.0
,4.0,3.0,1.0,23.0,1694060366.0
,4.0,3.0,1.0,23.0,1694060894.0
,4.0,3.0,1.0,23.0,1694061154.0
,4.0,3.0,1.0,23.0,1694061414.0
,4.0,3.0,1.0,23.0,1694061678.0
,4.0,3.0,1.0,23.0,1694061946.0
,4.0,3.0,1.0,23.0,1694062212.0
,5.0,3.0,2.0,22.0,1694062736.0
,5.0,3.0,2.0,22.0,1694063001.0
,5.0,3.0,2.0,22.0,1694063001.0
,5.0,3.0,2.0,22.0,1694063526.0
,5.0,3.0,2.0,22.0,1694063790.0
,5.0,3.0,2.0,22.0,1694064058.0
,5.0,3.0,2.0,22.0,1694064324.0
,5.0,3.0,2.0,22.0,1694064588.0
,8.0,3.0,5.0,19.0,1694064854.0
,8.0,3.0,5.0,19.0,1694065383.0
,9.0,3.0,6.0,18.0,1694065646.0
,13.0,3.0,10.0,14.0,1694065911.0
,18.0,3.0,15.0,9.0,1694066173.0
,21.0,3.0,18.0,6.0,1694066435.0
,21.0,3.0,18.0,6.0,1694066958.0
,20.0,3.0,17.0,7.0,1694066958.0
,21.0,3.0,18.0,6.0,1694067222.0
,23.0,3.0,20.0,3.0,1694067756.0
,25.0,3.0,22.0,1.0,1694068018.0
,26.0,3.0,23.0,0.0,1694068283.0
,26.0,3.0,23.0,0.0,1694068550.0
,27.0,3.0,24.0,0.0,1694068817.0
,27.0,3.0,24.0,0.0,1694069079.0
,26.0,3.0,23.0,1.0,1694069611.0
,27.0,3.0,24.0,0.0,1694069611.0
,27.0,3.0,24.0,0.0,1694070142.0
,27.0,3.0,24.0,0.0,1694070405.0
,27.0,3.0,24.0,0.0,1694070665.0
,26.0,3.0,23.0,1.0,1694070932.0
,27.0,4.0,23.0,0.0,1694071194.0
,27.0,4.0,23.0,0.0,1694071454.0
,27.0,4.0,23.0,0.0,1694071983.0
,27.0,4.0,23.0,0.0,1694072247.0
,27.0,5.0,22.0,0.0,1694072512.0
,27.0,5.0,22.0,0.0,1694072780.0
,27.0,5.0,22.0,0.0,1694073047.0
,27.0,5.0,22.0,0.0,1694073577.0
,27.0,5.0,22.0,0.0,1694073577.0
,27.0,5.0,22.0,0.0,1694073840.0
,27.0,5.0,22.0,0.0,1694074369.0
